SL.No,Type,ozwin TBC,Ozwin TBC,Part number,Product Number,Model,Description ,SR no,Total Qty,Available,Ordered,Owner,Comments,
1,Cable,,,"
844479-001",844477-B21,,HPE 25GbE SFP28 to SFP28 3m DAC,N/A,10,,122-Bottom,,,
2,Drive,,,832510-001,,MM1000GFJTE,1TB SATA 6G 7.2K 2.5-SGT,2C8639206R,1,,122-Middle,,,
3,Drive,,,P50685-001,,VV001920LYDTT,HPE 1.92TB NVMe RI E3S EC1 SSD-KIO CD7 P56714,13L0A0KTTX18,1,,122-Middle,,,
4,Drive,,,P50685-001,,VV001920LYDTT,HPE 1.92TB NVMe RI E3S EC1 SSD-KIO CD7 P56714,13L0A0PDTX18,1,,122-Middle,,,
5,Drive,,,P50685-001,,VV001920LYDTT,1.92TB NVMe RI E3S EC1 SSD-KIO CD7 P56714,13L0A0JPTX18,1,,122-Middle,,,
6,Drive,,,P50685-001,,VV001920LYDTT,1.92TB NVMe RI E3S EC1 SSD-KIO CD7 P56714,13M0A015TX18,1,,122-Middle,,,
7,Drive,,,P50685-001,,VV001920LYDTT,1.92TB NVMe RI E3S EC1 SSD-KIO CD7 P56714,13L0A0LMTX18,1,,122-Middle,,,
8,Drive,,,P50685-002,,VV003840LYDTU,3.84TB NVMe RI E3S EC1 SSD-KIO CD7 P56715,93A0A013TX28,1,,122-Middle,,,
9,Drive,,,P50685-002,,VV003840LYDTU,3.84TB NVMe RI E3S EC1 SSD-KIO CD7  P56715,9310A01LTX28,1,,122-Middle,,,
10,Drive,,,P50685-002,,VV003840LYDTV,HPE 3.84TB NVMe RI E3S EC1 SSD-KIO CD7 P56715,9320A018TX28,1,,122-Middle,,,
11,Drive,,,P54052-001,,VV003840KXNTH,HPE 3.84TB NVMe RI E3S EC1 PM1743 SSD,S77JNG0W800890,1,,122-Middle,Sebin,New Build System,
12,Drive,,,P54052-001,,VV003840KXNTH,HPE 3.84TB NVMe RI E3S EC1 PM1743 SSD,S77JNG0W800893,1,,122-Middle,Sebin,New Build System,
13,Drive,,,P54052-001,,VV003840KXNTH,HPE 3.84TB NVMe RI E3S EC1 PM1743 SSD,S77JNG0W800892,1,,122-Middle,Sebin,New Build System,
14,Drive,,,P54052-001,,VV003840KXNTH,HPE 3.84TB NVMe RI E3S EC1 PM1743 SSD P58425,S77JNG0W800891,1,,122-Middle,,,
15,Drive,,,P54052-002,,VV007680KXNTN,HPE 7.68TB NVMe RI E3S EC1 PM1743 SSD,S77HNG0W700676,1,,122-Middle,Sebin,New Build System,
